,zip_code
0,90001
1,90002
2,90003
3,90004
4,90005
5,90006
6,90007
7,90008
8,90009
9,90010
10,90011
11,90012
12,90013
13,90014
14,90015
15,90016
16,90017
17,90018
18,90019
19,90020
20,90021
21,90022
22,90023
23,90024
24,90025
25,90026
26,90027
27,90028
28,90029
29,90030
30,90031
31,90032
32,90033
33,90034
34,90035
35,90036
36,90037
37,90038
38,90039
39,90040
40,90041
41,90042
42,90043
43,90044
44,90045
45,90046
46,90047
47,90048
48,90049
49,90050
50,90051
51,90052
52,90053
53,90054
54,90055
55,90056
56,90057
57,90058
58,90059
59,90060
60,90061
61,90062
62,90063
63,90064
64,90065
65,90066
66,90067
67,90068
68,90069
69,90070
70,90071
71,90072
72,90073
73,90074
74,90075
75,90076
76,90077
77,90078
78,90079
79,90080
80,90081
81,90082
82,90083
83,90084
84,90086
85,90087
86,90088
87,90089
88,90090
89,90091
90,90093
91,90094
92,90095
93,90096
94,90099
95,90101
96,90102
97,90103
98,90189
99,90201
100,90202
101,90209
102,90210
103,90211
104,90212
105,90213
106,90220
107,90221
108,90222
109,90223
110,90224
111,90230
112,90231
113,90232
114,90233
115,90239
116,90240
117,90241
118,90242
119,90245
120,90247
121,90248
122,90249
123,90250
124,90251
125,90254
126,90255
127,90260
128,90261
129,90262
130,90263
131,90264
132,90265
133,90266
134,90267
135,90270
136,90272
137,90274
138,90275
139,90277
140,90278
141,90280
142,90290
143,90291
144,90292
145,90293
146,90294
147,90295
148,90296
149,90301
150,90302
151,90303
152,90304
153,90305
154,90306
155,90307
156,90308
157,90309
158,90310
159,90311
160,90312
161,90313
162,90397
163,90398
164,90401
165,90402
166,90403
167,90404
168,90405
169,90406
170,90407
171,90408
172,90409
173,90410
174,90411
175,90501
176,90502
177,90503
178,90504
179,90505
180,90506
181,90507
182,90508
183,90509
184,90510
185,90601
186,90602
187,90603
188,90604
189,90605
190,90606
191,90607
192,90608
193,90609
194,90610
195,90612
196,90620
197,90621
198,90622
199,90623
200,90624
201,90630
202,90631
203,90632
204,90633
205,90637
206,90638
207,90639
208,90640
209,90650
210,90651
211,90652
212,90659
213,90660
214,90661
215,90662
216,90670
217,90671
218,90680
219,90701
220,90702
221,90703
222,90704
223,90706
224,90707
225,90710
226,90711
227,90712
228,90713
229,90714
230,90715
231,90716
232,90717
233,90720
234,90721
235,90723
236,90731
237,90732
238,90733
239,90734
240,90740
241,90742
242,90743
243,90744
244,90745
245,90746
246,90747
247,90748
248,90749
249,90755
250,90801
251,90802
252,90803
253,90804
254,90805
255,90806
256,90807
257,90808
258,90809
259,90810
260,90813
261,90814
262,90815
263,90822
264,90831
265,90832
266,90833
267,90834
268,90835
269,90840
270,90842
271,90844
272,90845
273,90846
274,90847
275,90848
276,90853
277,90888
278,90895
279,90899
280,91001
281,91003
282,91006
283,91007
284,91008
285,91009
286,91010
287,91011
288,91012
289,91016
290,91017
291,91020
292,91021
293,91023
294,91024
295,91025
296,91030
297,91031
298,91040
299,91041
300,91042
301,91043
302,91046
303,91066
304,91077
305,91101
306,91102
307,91103
308,91104
309,91105
310,91106
311,91107
312,91108
313,91109
314,91110
315,91114
316,91115
317,91116
318,91117
319,91118
320,91121
321,91123
322,91124
323,91125
324,91126
325,91129
326,91131
327,91182
328,91184
329,91185
330,91188
331,91189
332,91191
333,91199
334,91201
335,91202
336,91203
337,91204
338,91205
339,91206
340,91207
341,91208
342,91209
343,91210
344,91214
345,91221
346,91222
347,91224
348,91225
349,91226
350,91301
351,91302
352,91303
353,91304
354,91305
355,91306
356,91307
357,91308
358,91309
359,91310
360,91311
361,91313
362,91316
363,91319
364,91320
365,91321
366,91322
367,91324
368,91325
369,91326
370,91327
371,91328
372,91329
373,91330
374,91331
375,91333
376,91334
377,91335
378,91337
379,91340
380,91341
381,91342
382,91343
383,91344
384,91345
385,91346
386,91350
387,91351
388,91352
389,91353
390,91354
391,91355
392,91356
393,91357
394,91358
395,91359
396,91360
397,91361
398,91362
399,91363
400,91364
401,91365
402,91367
403,91371
404,91372
405,91376
406,91377
407,91380
408,91381
409,91382
410,91383
411,91384
412,91385
413,91386
414,91387
415,91388
416,91390
417,91392
418,91393
419,91394
420,91395
421,91396
422,91399
423,91401
424,91402
425,91403
426,91404
427,91405
428,91406
429,91407
430,91408
431,91409
432,91410
433,91411
434,91412
435,91413
436,91416
437,91423
438,91426
439,91436
440,91470
441,91482
442,91495
443,91496
444,91497
445,91499
446,91501
447,91502
448,91503
449,91504
450,91505
451,91506
452,91507
453,91508
454,91510
455,91521
456,91522
457,91523
458,91526
459,91601
460,91602
461,91603
462,91604
463,91605
464,91606
465,91607
466,91608
467,91609
468,91610
469,91611
470,91612
471,91614
472,91615
473,91616
474,91617
475,91618
476,91701
477,91702
478,91706
479,91708
480,91709
481,91710
482,91711
483,91714
484,91715
485,91716
486,91722
487,91723
488,91724
489,91729
490,91730
491,91731
492,91732
493,91733
494,91734
495,91735
496,91737
497,91739
498,91740
499,91741
500,91743
501,91744
502,91745
503,91746
504,91747
505,91748
506,91749
507,91750
508,91752
509,91754
510,91755
511,91756
512,91758
513,91759
514,91761
515,91762
516,91763
517,91764
518,91765
519,91766
520,91767
521,91768
522,91769
523,91770
524,91771
525,91772
526,91773
527,91775
528,91776
529,91778
530,91780
531,91784
532,91785
533,91786
534,91788
535,91789
536,91790
537,91791
538,91792
539,91793
540,91795
541,91797
542,91798
543,91799
